,name,schadstoff,year_2014,year_2015,typ,x,y,id
0,Datteln-Hagem,Stickstoffdioxid,21.1261,20.3173,vorstädtisches Gebiet,7.331405,51.641383,0
1,Lünen-Niederaden,Stickstoffdioxid,27.438,24.3654,vorstädtisches Gebiet,7.569838,51.592206,1
2,Dortmund-Eving,Stickstoffdioxid,27.6639,26.5309,städtisches Gebiet,7.457463,51.536911,2
3,Unna-Königsborn,Stickstoffdioxid,20.9525,20.9618,vorstädtisches Gebiet,7.693835,51.547495,3
4,Bottrop-Welheim,Stickstoffdioxid,27.3434,26.3245,städtisches Gebiet,6.976908,51.525963,4
5,Gelsenkirchen-Bismarck,Stickstoffdioxid,26.9385,26.4505,vorstädtisches Gebiet,7.101786,51.533646,5
6,Essen-Vogelheim,Stickstoffdioxid,27.6463,26.5589,städtisches Gebiet,6.981045,51.496527,6
7,Hattingen-Blankenstein,Stickstoffdioxid,17.1108,18.0767,vorstädtisches Gebiet,7.208572,51.403005,7
8,Wesel-Feldmark,Stickstoffdioxid,21.8786,19.3393,vorstädtisches Gebiet,6.629576,51.672809,8
9,Duisburg-Walsum,Stickstoffdioxid,26.1492,25.9033,städtisches Gebiet,6.748402,51.524022,9
10,Duisburg-Walsum,Stickstoffdioxid,28.1678,25.4978,städtisches Gebiet,6.748402,51.524022,10
11,Mülheim-Styrum,Stickstoffdioxid,27.4895,26.0017,städtisches Gebiet,6.865107,51.45346,11
12,Essen-Ost Steeler Straße,Stickstoffdioxid,37.141,35.5559,städtisches Gebiet,7.030603,51.451177,12
13,Essen-Ost Steeler Straße,Stickstoffdioxid,39.6062,37.7245,städtisches Gebiet,7.030603,51.451177,13
14,Köln-Chorweiler,Stickstoffdioxid,25.9647,24.9865,städtisches Gebiet,6.884636,51.019345,14
15,Hürth,Stickstoffdioxid,21.9747,21.1536,vorstädtisches Gebiet,6.873789,50.876121,15
16,Köln-Rodenkirchen,Stickstoffdioxid,29.5293,31.2326,vorstädtisches Gebiet,6.985164,50.889814,16
17,Bonn-Auerberg,Stickstoffdioxid,27.9723,29.8923,vorstädtisches Gebiet,7.082676,50.75364,17
18,Simmerath (Eifel),Stickstoffdioxid,5.7294,5.9522,ländlich regional,6.281069,50.653236,18
