,name,stadt,stoff,einheit,jahr_2014,jahr_2015,typ,gebiet,x,y,id
75,Köln Clevischer Ring 3,Köln,Stickstoffdioxid,µg/m³,63.3006,66.2804,Verkehr,städtisches Gebiet,7.00459,50.962857,75
29,Düsseldorf Corneliusstraße,Düsseldorf,Stickstoffdioxid,µg/m³,63.3449,61.5074,Verkehr,städtisches Gebiet,6.782565,51.21311,29
99,Düren Euskirchener Straße,Düren,Stickstoffdioxid,µg/m³,63.5832,61.3109,Verkehr,städtisches Gebiet,6.494618,50.80413,99
28,Düsseldorf Corneliusstraße,Düsseldorf,Stickstoffdioxid,µg/m³,59.9771,58.9118,Verkehr,städtisches Gebiet,6.782565,51.21311,28
79,Düsseldorf-Bilk,Düsseldorf,Stickstoffdioxid,µg/m³,59.826,56.2848,Verkehr,städtisches Gebiet,6.776388,51.202464,79
71,Aachen Wilhelmstraße,Aachen,Stickstoffdioxid,µg/m³,56.9322,53.8111,Verkehr,städtisches Gebiet,6.095775,50.773131,71
44,Köln Justinianstraße,Köln,Stickstoffdioxid,µg/m³,54.8196,53.6781,Verkehr,städtisches Gebiet,6.978026,50.938542,44
64,Oberhausen Mülheimer Straße 117,Oberhausen,Stickstoffdioxid,µg/m³,54.9467,52.5808,Verkehr,städtisches Gebiet,6.863657,51.474971,64
80,Köln-Weiden,Köln,Stickstoffdioxid,µg/m³,56.2578,52.0837,Verkehr,städtisches Gebiet,6.835109,50.938052,80
65,Wuppertal Gathe,Wuppertal,Stickstoffdioxid,µg/m³,51.0235,51.4778,Verkehr,städtisches Gebiet,7.147401,51.260681,65
130,Düsseldorf Ludenberger Straße,Düsseldorf,Stickstoffdioxid,µg/m³,56.1637,51.2464,Verkehr,städtisches Gebiet,6.83315,51.240755,130
45,Köln Neumarkt,Köln,Stickstoffdioxid,µg/m³,55.9926,51.1308,Verkehr,städtisches Gebiet,6.947953,50.935545,45
55,Bonn Reuterstraße 24,Bonn,Stickstoffdioxid,µg/m³,52.4489,50.4656,Verkehr,städtisches Gebiet,7.097058,50.722581,55
126,Köln Luxemburger Straße,Köln,Stickstoffdioxid,µg/m³,53.0915,50.3534,Verkehr,städtisches Gebiet,6.932681,50.920406,126
47,Paderborn Friedrichstraße 29,Paderborn,Stickstoffdioxid,µg/m³,49.5985,50.2455,Verkehr,städtisches Gebiet,8.747085,51.718696,47
70,Aachen Wilhelmstraße,Aachen,Stickstoffdioxid,µg/m³,49.8188,50.1776,Verkehr,städtisches Gebiet,6.095775,50.773131,70
72,Gelsenkirchen Kurt-Schumacher-Straße,Gelsenkirchen,Stickstoffdioxid,µg/m³,51.4432,49.8875,Verkehr,städtisches Gebiet,7.084597,51.527883,72
