,name,schadstoff,typ,x,y,id
0,Datteln-Hagem,Stickstoffdioxid,vorstädtisches Gebiet,7.331405,51.641383,0
1,Lünen-Niederaden,Stickstoffdioxid,vorstädtisches Gebiet,7.569838,51.592206,1
2,Dortmund-Eving,Stickstoffdioxid,städtisches Gebiet,7.457463,51.536911,2
3,Unna-Königsborn,Stickstoffdioxid,vorstädtisches Gebiet,7.693835,51.547495,3
4,Bottrop-Welheim,Stickstoffdioxid,städtisches Gebiet,6.976908,51.525963,4
5,Gelsenkirchen-Bismarck,Stickstoffdioxid,vorstädtisches Gebiet,7.101786,51.533646,5
6,Essen-Vogelheim,Stickstoffdioxid,städtisches Gebiet,6.981045,51.496527,6
7,Hattingen-Blankenstein,Stickstoffdioxid,vorstädtisches Gebiet,7.208572,51.403005,7
8,Wesel-Feldmark,Stickstoffdioxid,vorstädtisches Gebiet,6.629576,51.672809,8
9,Duisburg-Walsum,Stickstoffdioxid,städtisches Gebiet,6.748402,51.524022,9
10,Duisburg-Walsum,Stickstoffdioxid,städtisches Gebiet,6.748402,51.524022,10
11,Mülheim-Styrum,Stickstoffdioxid,städtisches Gebiet,6.865107,51.45346,11
12,Essen-Ost Steeler Straße,Stickstoffdioxid,städtisches Gebiet,7.030603,51.451177,12
13,Essen-Ost Steeler Straße,Stickstoffdioxid,städtisches Gebiet,7.030603,51.451177,13
14,Köln-Chorweiler,Stickstoffdioxid,städtisches Gebiet,6.884636,51.019345,14
15,Hürth,Stickstoffdioxid,vorstädtisches Gebiet,6.873789,50.876121,15
16,Köln-Rodenkirchen,Stickstoffdioxid,vorstädtisches Gebiet,6.985164,50.889814,16
17,Bonn-Auerberg,Stickstoffdioxid,vorstädtisches Gebiet,7.082676,50.75364,17
18,Simmerath (Eifel),Stickstoffdioxid,ländlich regional,6.281069,50.653236,18
19,Netphen (Rothaargebirge),Stickstoffdioxid,ländlich regional,8.191932,50.930328,19
20,Nettetal-Kaldenkirchen,Stickstoffdioxid,ländlich stadtnah,6.195868,51.326943,20
21,Bielefeld-Ost,Stickstoffdioxid,städtisches Gebiet,8.548389,52.023169,21
22,Soest-Ost,Stickstoffdioxid,ländlich stadtnah,8.148061,51.570662,22
23,Düsseldorf-Lörick,Stickstoffdioxid,städtisches Gebiet,6.732383,51.249211,23
24,Ratingen-Tiefenbroich,Stickstoffdioxid,vorstädtisches Gebiet,6.819967,51.303919,24
25,Leverkusen-Manfort,Stickstoffdioxid,vorstädtisches Gebiet,7.005063,51.028879,25
26,Solingen-Wald,Stickstoffdioxid,vorstädtisches Gebiet,7.052634,51.183773,26
27,Borken-Gemen,Stickstoffdioxid,ländlich stadtnah,6.874554,51.862,27
28,Düsseldorf Corneliusstraße,Stickstoffdioxid,städtisches Gebiet,6.782565,51.21311,28
29,Düsseldorf Corneliusstraße,Stickstoffdioxid,städtisches Gebiet,6.782565,51.21311,29
30,Aachen-Burtscheid,Stickstoffdioxid,städtisches Gebiet,6.093923,50.754704,30
31,Münster-Geist,Stickstoffdioxid,städtisches Gebiet,7.611581,51.936547,31
32,Mönchengladbach Düsseldorfer Straße,Stickstoffdioxid,städtisches Gebiet,6.458842,51.169967,32
33,Dortmund Steinstraße,Stickstoffdioxid,städtisches Gebiet,7.464347,51.519639,33
34,Duisburg Kardinal-Galen-Straße,Stickstoffdioxid,städtisches Gebiet,6.771801,51.437708,34
35,Duisburg Kardinal-Galen-Straße,Stickstoffdioxid,städtisches Gebiet,6.771801,51.437708,35
36,Wuppertal-Langerfeld,Stickstoffdioxid,städtisches Gebiet,7.231895,51.277647,36
37,Krefeld (Hafen),Stickstoffdioxid,vorstädtisches Gebiet,6.670195,51.342561,37
38,Hagen Graf-von-Galen-Ring,Stickstoffdioxid,städtisches Gebiet,7.46353,51.362829,38
39,Essen Gladbecker Straße,Stickstoffdioxid,städtisches Gebiet,7.005278,51.477931,39
40,Essen Gladbecker Straße,Stickstoffdioxid,städtisches Gebiet,7.005278,51.477931,40
41,Dortmund Brackeler Straße,Stickstoffdioxid,städtisches Gebiet,7.483597,51.523567,41
42,Dortmund Brackeler Straße,Stickstoffdioxid,städtisches Gebiet,7.483597,51.523567,42
43,Hagen Wehringhauser Straße,Stickstoffdioxid,städtisches Gebiet,7.453887,51.354904,43
44,Köln Justinianstraße,Stickstoffdioxid,städtisches Gebiet,6.978026,50.938542,44
45,Köln Neumarkt,Stickstoffdioxid,städtisches Gebiet,6.947953,50.935545,45
46,Paderborn Bahnhofstraße,Stickstoffdioxid,städtisches Gebiet,8.744098,51.714573,46
47,Paderborn Friedrichstraße 29,Stickstoffdioxid,städtisches Gebiet,8.747085,51.718696,47
48,Essen Alfredstraße 9/11,Stickstoffdioxid,städtisches Gebiet,7.004406,51.440205,48
49,Essen Brückstraße,Stickstoffdioxid,städtisches Gebiet,7.00111,51.38818,49
50,Mönchengladbach Aachener Straße 426/428,Stickstoffdioxid,städtisches Gebiet,6.409975,51.182463,50
