Stationsname,Stationscode,Stationsname,Schadstoff,Einheit,dataGroup,Jahr-2014,Jahr-2015,TYPE_OF_STATION,TYPE_OF_AREA,Länge,Breite,Stadt,id,c-2014,c-2015
Datteln-Hagem,DENW002,Datteln-Hagem,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,21.1261,20.3173,Hintergrund,vorstädtisches Gebiet,7.331405,51.641383,Datteln,0,21.1261,20.3173
Lünen-Niederaden,DENW006,Lünen-Niederaden,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.438,24.3654,Hintergrund,vorstädtisches Gebiet,7.569838,51.592206,Lünen,1,27.438,24.3654
Dortmund-Eving,DENW008,Dortmund-Eving,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.6639,26.5309,Hintergrund,städtisches Gebiet,7.457463,51.536911,Dortmund,2,27.6639,26.5309
Unna-Königsborn,DENW010,Unna-Königsborn,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,20.9525,20.9618,Hintergrund,vorstädtisches Gebiet,7.693835,51.547495,Unna,3,20.9525,20.9618
Bottrop-Welheim,DENW021,Bottrop-Welheim,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.3434,26.3245,Industrie,städtisches Gebiet,6.976908,51.525963,Bottrop,4,27.3434,26.3245
Gelsenkirchen-Bismarck,DENW022,Gelsenkirchen-Bismarck,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,26.9385,26.4505,Hintergrund,vorstädtisches Gebiet,7.101786,51.533646,Gelsenkirchen,5,26.9385,26.4505
Essen-Vogelheim,DENW024,Essen-Vogelheim,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.6463,26.5589,Hintergrund,städtisches Gebiet,6.981045,51.496527,Essen,6,27.6463,26.5589
Hattingen-Blankenstein,DENW029,Hattingen-Blankenstein,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,17.1108,18.0767,Hintergrund,vorstädtisches Gebiet,7.208572,51.403005,Hattingen,7,17.1108,18.0767
Wesel-Feldmark,DENW030,Wesel-Feldmark,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,21.8786,19.3393,Hintergrund,vorstädtisches Gebiet,6.629576,51.672809,Wesel,8,21.8786,19.3393
Duisburg-Walsum,DENW034,Duisburg-Walsum,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,26.1492,25.9033,Industrie,städtisches Gebiet,6.748402,51.524022,Duisburg,9,26.1492,25.9033
Duisburg-Walsum,DENW034,Duisburg-Walsum,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,28.1678,25.4978,Industrie,städtisches Gebiet,6.748402,51.524022,Duisburg,10,28.1678,25.4978
Mülheim-Styrum,DENW038,Mülheim-Styrum,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.4895,26.0017,Hintergrund,städtisches Gebiet,6.865107,51.45346,Mülheim,11,27.4895,26.0017
Essen-Ost Steeler Straße,DENW043,Essen-Ost Steeler Straße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,37.141,35.5559,Verkehr,städtisches Gebiet,7.030603,51.451177,Essen,12,37.141,35.5559
Essen-Ost Steeler Straße,DENW043,Essen-Ost Steeler Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.6062,37.7245,Verkehr,städtisches Gebiet,7.030603,51.451177,Essen,13,39.6062,37.7245
Köln-Chorweiler,DENW053,Köln-Chorweiler,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,25.9647,24.9865,Hintergrund,städtisches Gebiet,6.884636,51.019345,Köln,14,25.9647,24.9865
Hürth,DENW058,Hürth,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,21.9747,21.1536,Industrie,vorstädtisches Gebiet,6.873789,50.876121,Hürth,15,21.9747,21.1536
Köln-Rodenkirchen,DENW059,Köln-Rodenkirchen,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,29.5293,31.2326,Hintergrund,vorstädtisches Gebiet,6.985164,50.889814,Köln,16,29.5293,31.2326
Bonn-Auerberg,DENW062,Bonn-Auerberg,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.9723,29.8923,Hintergrund,vorstädtisches Gebiet,7.082676,50.75364,Bonn,17,27.9723,29.8923
Simmerath (Eifel),DENW064,Simmerath (Eifel),Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,5.7294,5.9522,Hintergrund,ländlich regional,6.281069,50.653236,Simmerath,18,5.7294,5.9522
Netphen (Rothaargebirge),DENW065,Netphen (Rothaargebirge),Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,4.815,6.7267,Hintergrund,ländlich regional,8.191932,50.930328,Netphen,19,4.815,6.7267
Nettetal-Kaldenkirchen,DENW066,Nettetal-Kaldenkirchen,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,21.829,20.2041,Hintergrund,ländlich stadtnah,6.195868,51.326943,Nettetal,20,21.829,20.2041
Bielefeld-Ost,DENW067,Bielefeld-Ost,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,22.09,22.4147,Hintergrund,städtisches Gebiet,8.548389,52.023169,Bielefeld,21,22.09,22.4147
Soest-Ost,DENW068,Soest-Ost,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,14.2243,12.414,Hintergrund,ländlich stadtnah,8.148061,51.570662,Soest,22,14.2243,12.414
Düsseldorf-Lörick,DENW071,Düsseldorf-Lörick,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,27.1433,25.2821,Hintergrund,städtisches Gebiet,6.732383,51.249211,Düsseldorf,23,27.1433,25.2821
Ratingen-Tiefenbroich,DENW078,Ratingen-Tiefenbroich,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,25.806,25.8344,Hintergrund,vorstädtisches Gebiet,6.819967,51.303919,Ratingen,24,25.806,25.8344
Leverkusen-Manfort,DENW079,Leverkusen-Manfort,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,28.4579,29.2568,Hintergrund,vorstädtisches Gebiet,7.005063,51.028879,Leverkusen,25,28.4579,29.2568
Solingen-Wald,DENW080,Solingen-Wald,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,22.0995,22.5589,Hintergrund,vorstädtisches Gebiet,7.052634,51.183773,Solingen,26,22.0995,22.5589
Borken-Gemen,DENW081,Borken-Gemen,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,18.1274,17.6602,Hintergrund,ländlich stadtnah,6.874554,51.862,Borken,27,18.1274,17.6602
Düsseldorf Corneliusstraße,DENW082,Düsseldorf Corneliusstraße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,59.9771,58.9118,Verkehr,städtisches Gebiet,6.782565,51.21311,Düsseldorf,28,59.9771,58.9118
Düsseldorf Corneliusstraße,DENW082,Düsseldorf Corneliusstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,63.3449,61.5074,Verkehr,städtisches Gebiet,6.782565,51.21311,Düsseldorf,29,63.3449,61.5074
Aachen-Burtscheid,DENW094,Aachen-Burtscheid,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,12.8725,14.2457,Hintergrund,städtisches Gebiet,6.093923,50.754704,Aachen,30,12.8725,14.2457
