,pos,name,cat1,cat2,x,y,url,id
1,1.1,Sporthalle Bergberufsschule,Allgemeinsporthallen,,51.44722,6.65942,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/EB58EACE8472528CC1257249004FC8F5,1
4,1.4,Sporthalle Henri-Guidet-Zentrum,Allgemeinsporthallen,,51.41421,6.59649,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/CB48749A464E2B86C1257249004FC8F7,4
5,1.5,Sporthalle Kirschenallee,Allgemeinsporthallen,,51.45375,6.65176,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/9F86A8D93A69AEA9C1257249004FC8F8,5
6,1.6,Sporthalle Sportzentrum Rheinkamp,Allgemeinsporthallen,,51.48199,6.61076,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/17ECDF49ABA7B358C1257249004FC8F9,6
9,2.2,Freibad Bettenkamp - Naturfreibad,Bäder,,51.4388138,6.610323,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/5BA3CF6D63A9D203C1257249004FC8FE,9
10,2.3,Lehrschwimmbecken Kapellen,Bäder,,51.41977,6.58972,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/98F265B54F068674C1257249004FC8FC,10
11,2.4,Lehrschwimmbecken Kirschenallee,Bäder,,51.4555085,6.6528294,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/A98DD46D3B60C657C1257249004FC8FD,11
13,3.1,Blinden- und Sehbehindertenwassersportgemeinschaft Moers e.V.,Bootshäuser,,51.4815848,6.6492625,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/0CBBF153800811E0C1257249004FC8FF,13
14,3.2,Wassersportverein Moers e.V.,Bootshäuser,,51.43198,6.65179,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/019A4FA387E26953C1257249004FC900,14
16,4.1,Eissporthalle,Eissporthalle,,51.439283,6.619241,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/6FFC10616207A508C1257249004FC901,16
18,5.1,Geschwister-Scholl-Gesamtschule,Gymnastikräume,,51.44887,6.66039,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/C9B39EB9FFC5F9B2C1257249004FC902,18
19,5.2,Grundschule Repelen,Gymnastikräume,,51.49067,6.60595,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/91EC0AA16FAE110AC1257249004FC903,19
20,5.3,"Gymnasium ""In den Filder Benden""",Gymnastikräume,,51.44252,6.62024,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/70814EA33F336532C1257249004FC904,20
21,5.4,Judoraum -Sporth. Kirschenallee-,Gymnastikräume,,51.45375,6.65176,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/064C3D73A1A83FEEC1257249004FC905,21
22,5.5,Kraftsportraum - Sporthalle Kirschenallee -,Gymnastikräume,,51.45375,6.65176,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/1765B78C381884C1C1257249004FC906,22
23,5.6,Kraftsportraum Henri-Guidet-Zentrum,Gymnastikräume,,51.41421,6.59649,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/787EACE8D036D233C1257249004FC907,23
24,5.7,Kraftsportraum Sportzentrum Rheinkamp,Gymnastikräume,,51.48199,6.61076,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/5A57CA6B937AD049C1257249004FC908,24
26,6.1,BSV Scherpenberg e.V.,Schießsportanlagen,,51.4479984,6.6696571,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/7DD4364CA8A4FA7FC1257249004FC909,26
27,6.2,Bürgerschützenverein Kapellen e.V.,Schießsportanlagen,,51.40776,6.5965,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/4BC68859C2CA508BC1257249004FC90A,27
28,6.3,Bürgerschützenverein Vinn 03 e.V.,Schießsportanlagen,,51.4398055,6.632836,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/0842A3FED6993947C1257249004FC90B,28
29,6.4,Holderberger-Bettenkamper Bürgerschützenverein 1886 e.V.,Schießsportanlagen,,51.4238445,6.6163877,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/5207AAB6EE4FE490C1257249004FC90C,29
30,6.5,Moerser Sportschützen 1952 e.V.,Schießsportanlagen,,51.47234,6.63551,http://m.moers.de/www/verzeichnis-09.nsf/apijson.xsp/doc/7CF57BE3DB147752C1257249004FC90D,30
