,pos,name,cat1,cat2,x,y,url,id
1,1.1,1. Shaolin-Kempo Verein Moers e.V.,"['--ALLE--', 'Sportvereine']","['Asiatische Kampfkunst', 'Arnis', 'Budo', 'Chinesische und asiatische Kampfkünste', 'Jiu-Jitsu', 'Kung Fu', 'Selbstverteidigung', 'Shaolin Kempo', 'Tai-Chi', 'Tai-Chi-Chuan', 'Tempelboxen', 'Wushu']",51.4518149,6.6424604,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/8019609A64B71B25C125724900488C5F,1
2,1.2,AG Jazz-Kultur-Moers,"['--ALLE--', 'Kulturvereine']",Chor und Musik,51.45241,6.6038,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/58781416ABC1A877C125732F0037EEEE,2
3,1.3,AG Justizsportgruppe NW e.V.,"['--ALLE--', 'Sportvereine']",Ju-Jutsu,51.4028814,6.6577568,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/D5350D3910F318CBC125724900488C61,3
4,1.4,Alevitisches Kulturzentrum Moers e.V.,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.4507165,6.640086,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/199C2B067085AC38C12572FB003033A7,4
5,1.5,Allgemeine Schützengesellschaft Moers-Hochstraß 1935 e.V.,"['--ALLE--', 'Sportvereine']",Schießen,51.4536527,6.6339458,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/B4E57C9BD3A72C1DC125724900488C7B,5
6,1.6,Allgemeiner Deutscher Fahrrad Club (ADFC) Kreis Wesel - Ortsgruppe Moers,"['--ALLE--', 'Sonstige Vereine']",,51.4121324,6.5958832,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/846EA60EE3A36402C125724900488CAB,6
7,1.7,Alzheimergesellschaft im Kirchenkreis Moers für den Niederrhein e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.4546846,6.6294234,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/F7462932468E6305C125724900488CC3,7
8,1.8,Amateur Box Club Rheinkamp 1959 e.V.,"['--ALLE--', 'Sportvereine']",Boxen,51.4487947,6.6557946,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/43B36A2A95CAFD07C125724900488C60,8
9,1.9,Angler-Interessengemeinschaft Rheinpreussen-Meerbeck 1950 e.V.,"['--ALLE--', 'Sportvereine']",Angeln,51.4674969,6.6337523,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/54B70D982DDD50BEC125724900488C62,9
10,1.10,Arbeitskreis Internationale Jugendarbeit mit Israel im Kreis Wesel e. V,"['--ALLE--', 'Kulturvereine']",Sonstige Vereine,51.4904811,6.6069607,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5E80D4261B2F7817C125743A0041FED1,10
11,1.11,Asberger Bürgergemeinschaft e.V.,"['--ALLE--', 'Kulturvereine']",Geschichte,51.4327047,6.6679256,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/311A841CF197ED97C125724900488CD9,11
12,1.12,ASV Rheinpreussen Waldsee 1950 e.V.,"['--ALLE--', 'Sportvereine']",Angeln,51.4804,6.61701,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5A060C4FB55D63B4C125724900488C63,12
13,1.13,BILANZ-Theatergruppe Moers e.V.,"['--ALLE--', 'Kulturvereine']",Kunst,51.44315,6.63299,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/7380E4501B3D1022C12573E800452C5F,13
14,1.14,Billard-Club Grün-Weiß Asberg 1951 e.V.,"['--ALLE--', 'Sportvereine']",Billard,51.44468,6.66584,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/1858FDA941E0E1C5C125724900488C66,14
15,1.15,"Billard-Club ""Reiner Ball"" Meerbeck 1928 e.V.","['--ALLE--', 'Sportvereine']",Billard,51.4876036,6.6384665,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/5E8752ED5FCFF4A3C125724900488C67,15
16,1.16,BlasterMaster e.V.,"['--ALLE--', 'Sonstige Vereine']",,51.45618,6.65238,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/BE673BEB532FE069C125724900488CAC,16
17,1.17,Blinden- und Sehbehinderten-Wassersportgemeinschaft Moers 1976 e.V.,"['--ALLE--', 'Sportvereine', 'Behindertensport']","['Behindertensport', 'Kanu', 'Rudern', 'Wasserwandersport']",51.4815848,6.6492625,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/20B7C2B986C68B78C125724900488C68,17
18,1.18,Bollwerk 107,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.4516041,6.6408148,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/ACAEBFA68C482F71C125724900488CD0,18
19,1.19,Box-Sport-Verein Glückauf Moers-Kapellen 1959 e.V.,"['--ALLE--', 'Sportvereine']","['Box-Fitness für Frauen und Jugendliche', 'Karate', 'Savate Boxing-Francaise']",51.443174,6.6116707,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/00F349FF58BE66F2C125724900488C69,19
20,1.20,Budo Club Moers 1985 e.V.,"['--ALLE--', 'Sportvereine']","['Budo', 'Chinesische und asiatische Kampfkünste', 'Frauenselbstverteidigung', 'Jiu-Jitsu', 'Kung Fu', 'Meditation', 'Selbstverteidigung', 'Wushu']",51.445773,6.6433318,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/8F617A04EC28D737C125724900488C6A,20
21,1.21,Büchereiverein zur Förderung und Erhaltung der Bücherei Scherpenberg e.V.,"['--ALLE--', 'Kulturvereine']",Sonstige Kulturvereine,51.44887,6.66039,http://m.moers.de/www/verzeichnis-01.nsf/apijson.xsp/doc/7C8BB4E1C10C9050C125724900488CCF,21
